reference|marque|modele|annee|couleur|carburant|kilometrage|immatriculation|ville|prix|qte_initial
VEH-14952|Volkswagen|Golf|2022|Vert olive|Electrique|159564|69-YMM-404|Brest|16509|8
VEH-14953|Renault|Arkana|2015|Gris platine|Hybride|67226|63-XKP-361|Aix-en-Provence|26473|7
VEH-14954|Mercedes|GLC|2015|Blanc nacre|Hybride|102574|22-ZZF-950|Brest|35618|8
VEH-14955|Toyota|Yaris Hybrid|2019|Gris platine|Essence|191567|11-VKA-910|Bordeaux|37196|4
VEH-14956|Dacia|Jogger|2016|Argent|GPL|92601|66-GSR-839|Le Havre|11548|1
VEH-14957|Citroen|C3|2022|Rouge flamme|Electrique|45206|60-BER-474|Caen|15509|1
VEH-14958|Fiat|500|2015|Orange fusion|Hybride|91777|32-QYP-105|Paris|33274|8
VEH-14959|Nissan|Leaf|2016|Rouge flamme|GPL|30093|61-VQV-100|Clermont-Ferrand|47585|6
VEH-14960|Seat|Ateca|2020|Argent|Hybride|169113|89-FST-974|Caen|57145|5
VEH-14961|Peugeot|408|2016|Blanc nacre|GPL|75948|68-LQS-779|Toulouse|15008|5
VEH-14962|Dacia|Spring|2017|Argent|Essence|142502|26-BOE-230|Nantes|43248|5
VEH-14963|BMW|Serie 3|2017|Gris platine|GPL|132520|60-HJO-468|Clermont-Ferrand|33039|3
VEH-14964|Peugeot|5008|2023|Orange fusion|Electrique|147021|68-OTQ-967|Nimes|40718|8
VEH-14965|Mercedes|Classe A|2016|Beige sable|Electrique|69552|11-RRH-999|Rennes|51941|6
VEH-14966|Mercedes|Classe C|2022|Noir perla|Hybride|89857|57-MAH-661|Besancon|31914|2
VEH-14967|Kia|Sportage|2016|Vert olive|GPL|117551|33-GWT-145|Marseille|44045|6
VEH-14968|Opel|Corsa|2025|Bleu intense|GPL|168034|40-EQH-349|Tours|21821|7
VEH-14969|Renault|Twingo|2021|Noir perla|GPL|94850|45-KBX-344|Lille|39143|6
VEH-14970|Mercedes|Classe A|2024|Blanc nacre|Hybride|199543|36-GJL-212|Toulouse|27608|1
VEH-14971|Opel|Mokka|2017|Gris platine|GPL|137799|82-OCD-958|Rouen|42517|8
VEH-14972|Nissan|Juke|2017|Violet royal|Diesel|67529|11-JVO-394|Nice|8618|3
VEH-14973|Hyundai|Ioniq 5|2019|Bleu intense|Electrique|52832|89-MNP-993|Nimes|43936|8
VEH-14974|Renault|Arkana|2017|Gris platine|Electrique|164212|80-WTS-183|Rennes|11637|3
VEH-14975|Mini|Cooper|2021|Beige sable|Hybride|118250|69-NPA-263|Amiens|19343|2
VEH-14976|Audi|A3|2022|Beige sable|Essence|130640|75-YNG-189|Perpignan|24022|8
VEH-14977|Kia|Sportage|2022|Noir perla|Essence|157351|53-PQV-255|Caen|16523|5
VEH-14978|Toyota|Corolla|2016|Violet royal|Diesel|189793|94-OSR-285|Rouen|58775|6
VEH-14979|Toyota|Aygo X|2016|Argent|GPL|122700|85-BLE-353|Saint-Etienne|10503|3
VEH-14980|Renault|Arkana|2025|Violet royal|GPL|37693|47-JET-330|Toulon|10729|2
VEH-14981|Ford|Mustang Mach-E|2019|Violet royal|Hybride|39962|49-SNB-932|Perpignan|54173|3
VEH-14982|Toyota|RAV4|2021|Beige sable|GPL|179894|89-ZFP-925|Saint-Etienne|30912|8
VEH-14983|Audi|A1|2016|Vert olive|Electrique|44637|16-MXB-716|Limoges|36748|2
VEH-14984|Kia|EV6|2023|Blanc nacre|Diesel|24266|23-TDB-114|Nice|21480|8
VEH-14985|Citroen|C3|2017|Bleu intense|Diesel|182607|65-NEF-184|Rouen|54363|4
VEH-14986|Seat|Leon|2019|Noir perla|Diesel|194624|85-SHN-647|Toulon|9416|7
VEH-14987|Fiat|500|2021|Bleu intense|Hybride|168938|85-DNO-557|Rennes|30351|6
VEH-14988|Toyota|Corolla|2017|Rouge flamme|Hybride|126709|77-QXQ-865|Montpellier|45499|6
VEH-14989|Fiat|Tipo|2023|Rouge flamme|Essence|94743|60-ZMP-290|Rouen|42049|5
VEH-14990|Hyundai|Ioniq 5|2017|Orange fusion|Electrique|175371|99-XMK-107|Paris|38756|1
VEH-14991|Volkswagen|Golf|2023|Violet royal|Diesel|13776|31-YBX-481|Perpignan|52889|8
VEH-14992|Hyundai|Ioniq 5|2022|Rouge flamme|GPL|109830|77-GMS-931|Amiens|26724|4
VEH-14993|Nissan|Leaf|2019|Gris platine|Hybride|129238|89-XKD-475|Metz|51673|4
VEH-14994|Fiat|600|2024|Bleu intense|GPL|68782|30-ZXV-330|Marseille|32089|1
VEH-14995|Mercedes|GLA|2025|Argent|Electrique|50947|28-YFF-471|Grenoble|34993|7
VEH-14996|Volkswagen|Polo|2018|Beige sable|Essence|125832|27-BWX-425|Montpellier|57714|3
VEH-14997|Opel|Mokka|2024|Bleu intense|Electrique|123904|67-UVA-648|Toulouse|41623|6
VEH-14998|Toyota|C-HR|2023|Blanc nacre|Essence|114434|40-YQZ-837|Grenoble|27876|3
VEH-14999|Volkswagen|T-Roc|2022|Beige sable|Electrique|184668|26-OLS-417|Perpignan|37462|2
VEH-15000|Opel|Mokka|2019|Noir perla|Essence|57250|26-ZOL-493|Mulhouse|32243|6
VEH-15001|Volkswagen|Polo|2021|Gris platine|GPL|176724|92-JYQ-364|Annecy|12435|6
VEH-15002|Dacia|Sandero|2015|Gris platine|GPL|67933|93-WFJ-647|Mulhouse|38591|3
VEH-15003|Toyota|C-HR|2017|Gris platine|Diesel|82065|89-SIY-686|Hyeres|58707|5
VEH-15004|Volkswagen|T-Roc|2021|Violet royal|GPL|69556|36-XFT-721|Lyon|45115|1
VEH-15005|Renault|Clio V|2017|Bleu intense|Electrique|152801|86-JIM-384|Hyeres|25671|4
VEH-15006|Opel|Grandland|2019|Gris platine|Electrique|197196|61-CCL-547|Limoges|40497|5
VEH-15007|Toyota|Aygo X|2017|Gris platine|Hybride|73626|36-RNO-680|Caen|37837|1
VEH-15008|Nissan|Qashqai|2020|Violet royal|Essence|66526|22-QSA-653|Montpellier|50676|7
VEH-15009|Hyundai|Tucson|2022|Vert olive|Essence|40935|59-YPM-133|Marseille|38481|5
VEH-15010|Renault|Clio V|2020|Rouge flamme|Essence|50823|75-MVX-152|Toulouse|9156|3
VEH-15011|Toyota|C-HR|2019|Bleu intense|GPL|152338|65-NVT-297|Reims|42902|1
VEH-15012|Fiat|600|2022|Violet royal|Diesel|86556|65-LQQ-421|Metz|30434|8
VEH-15013|Audi|Q5|2017|Bleu intense|Hybride|68783|49-UUJ-303|Villeurbanne|42121|2
VEH-15014|Seat|Ateca|2024|Noir perla|Diesel|142597|24-ZRO-813|Rennes|40595|8
VEH-15015|Peugeot|208|2017|Blanc nacre|Hybride|181165|90-UXM-898|Bordeaux|20050|1
VEH-15016|Volkswagen|Polo|2016|Noir perla|Diesel|97722|95-YGU-734|Hyeres|32803|6
VEH-15017|Kia|Niro|2024|Vert olive|Diesel|131508|62-NIG-108|Rouen|42841|2
VEH-15018|Peugeot|408|2016|Noir perla|Hybride|129178|13-MVQ-478|Toulouse|53638|8
VEH-15019|Kia|Niro|2016|Vert olive|Hybride|125648|80-HXL-626|Strasbourg|16020|2
VEH-15020|Hyundai|i20|2019|Blanc nacre|GPL|151092|66-WYH-662|Rouen|39715|4
VEH-15021|Seat|Ibiza|2018|Violet royal|GPL|183578|77-WZA-635|Toulon|23915|1
VEH-15022|Citroen|C4|2025|Orange fusion|Hybride|194980|42-XPQ-643|Grenoble|23068|2
VEH-15023|Renault|Scenic E-Tech|2017|Beige sable|GPL|192040|10-BNC-480|Toulon|51932|3
VEH-15024|Seat|Arona|2016|Bleu intense|GPL|149468|27-ZOS-455|Rennes|21699|6
VEH-15025|Mini|Clubman|2023|Rouge flamme|Hybride|176401|20-ZCL-701|Dijon|12241|6
VEH-15026|Ford|Focus|2025|Gris platine|Essence|160374|76-LIS-988|Dijon|25444|6
VEH-15027|Citroen|Berlingo|2019|Bleu intense|GPL|51813|61-VXD-667|Nice|54503|2
VEH-15028|Nissan|Micra|2015|Blanc nacre|GPL|142063|56-VGE-339|Besancon|41639|3
VEH-15029|Toyota|Corolla|2018|Argent|Electrique|101155|93-CLZ-309|Toulouse|19848|5
VEH-15030|BMW|Serie 1|2023|Blanc nacre|Diesel|157092|38-MRS-420|Lyon|29458|1
VEH-15031|Opel|Corsa|2021|Argent|Diesel|153662|50-POB-919|Caen|27127|6
VEH-15032|Peugeot|3008|2024|Argent|Essence|67685|20-PVG-226|Lille|29493|5
VEH-15033|Opel|Corsa|2020|Bleu intense|Diesel|148527|52-UWH-552|Villeurbanne|21712|2
VEH-15034|Mini|Countryman|2017|Beige sable|Hybride|115248|89-YMT-256|Bordeaux|13183|5
VEH-15035|Seat|Leon|2017|Violet royal|Hybride|27465|30-BDG-872|Martigues|25650|3
VEH-15036|Hyundai|Kona|2019|Gris platine|Hybride|26360|42-CYD-260|Bordeaux|54916|2
VEH-15037|Toyota|Corolla|2015|Beige sable|Diesel|86451|36-OII-635|Aix-en-Provence|41900|1
VEH-15038|Audi|A3|2017|Vert olive|Electrique|123822|40-TKH-672|Le Mans|31616|4
VEH-15039|Mercedes|GLC|2022|Argent|Electrique|154620|33-WQF-607|Valence|55342|5
VEH-15040|Peugeot|3008|2022|Argent|Essence|192319|45-EXK-103|Amiens|27374|4
VEH-15041|Volkswagen|Polo|2018|Orange fusion|Hybride|89721|61-JYS-202|Lyon|31977|3
VEH-15042|Dacia|Sandero|2020|Noir perla|GPL|5469|84-GXY-748|Amiens|13964|1
VEH-15043|BMW|Serie 3|2015|Beige sable|Diesel|32651|33-XER-241|Saint-Etienne|26163|3
VEH-15044|Seat|Ateca|2018|Rouge flamme|Essence|10669|25-MRR-170|Nimes|29626|6
VEH-15045|Seat|Ateca|2020|Vert olive|GPL|173223|91-MBU-268|Lyon|30784|4
VEH-15046|Toyota|RAV4|2017|Orange fusion|Hybride|61936|79-BSJ-519|Villeurbanne|19943|1
VEH-15047|Peugeot|5008|2016|Violet royal|Hybride|66680|19-NXZ-879|Saint-Etienne|51805|5
VEH-15048|Toyota|C-HR|2020|Beige sable|GPL|63300|77-FIN-994|Grenoble|23829|4
VEH-15049|Seat|Ateca|2016|Orange fusion|Essence|112975|77-VXK-388|Lyon|20329|8
VEH-15050|Volkswagen|Passat|2017|Gris platine|Hybride|29047|76-QWD-952|Le Mans|15468|8
VEH-15051|Mercedes|GLC|2023|Orange fusion|Hybride|122851|11-BVO-688|Caen|18234|6
VEH-15052|Ford|Focus|2024|Blanc nacre|GPL|70620|77-OTR-603|Tours|26208|3
VEH-15053|Audi|Q5|2025|Noir perla|GPL|76406|80-EBO-649|Nimes|19240|5
VEH-15054|Fiat|500|2015|Noir perla|Essence|150875|80-SKB-628|Annecy|23068|3
VEH-15055|Hyundai|i20|2024|Rouge flamme|Essence|135770|50-QQR-635|Besancon|51031|6
VEH-15056|Dacia|Spring|2025|Rouge flamme|Diesel|60361|16-BOV-954|Villeurbanne|37044|7
VEH-15057|Renault|Kadjar|2020|Gris platine|Electrique|54081|64-XXC-943|Nice|50441|8
VEH-15058|Mini|Countryman|2018|Gris platine|Diesel|192162|39-LRP-438|Limoges|30740|7
VEH-15059|Renault|Clio V|2017|Violet royal|GPL|156300|80-ZFA-918|Tours|11869|7
VEH-15060|Kia|Niro|2016|Beige sable|Hybride|44061|43-UNO-310|Lyon|15598|1
VEH-15061|Audi|Q5|2025|Orange fusion|Electrique|26903|24-ROF-571|Clermont-Ferrand|30830|6
VEH-15062|Peugeot|208|2019|Vert olive|GPL|24400|47-AWJ-758|Reims|8828|5
VEH-15063|Seat|Arona|2021|Violet royal|GPL|19933|67-KNH-851|Saint-Etienne|54875|2
VEH-15064|Kia|Niro|2015|Vert olive|Hybride|60188|70-FYS-172|Lyon|17520|3
VEH-15065|Fiat|500|2016|Argent|Essence|49956|35-QOM-463|Villeurbanne|16961|1
VEH-15066|Fiat|600|2020|Orange fusion|Hybride|12339|73-KME-632|Aix-en-Provence|48215|8
VEH-15067|Volkswagen|Polo|2019|Bleu intense|Essence|119054|23-YIQ-661|Aix-en-Provence|28315|7
VEH-15068|Seat|Ateca|2022|Vert olive|Electrique|11004|74-AUM-484|Grenoble|23501|2
VEH-15069|Ford|Fiesta|2022|Noir perla|Diesel|131193|28-QZF-157|Grenoble|51683|6
VEH-15070|Ford|Focus|2024|Argent|Diesel|98889|81-OGM-689|Grenoble|58183|7
VEH-15071|Kia|Niro|2015|Noir perla|Hybride|86192|49-BCF-418|Perpignan|27446|6
VEH-15072|Fiat|Tipo|2019|Gris platine|GPL|61576|91-UWH-897|Rennes|21585|4
VEH-15073|Dacia|Spring|2020|Noir perla|Hybride|115426|90-BYG-994|Strasbourg|51040|6
VEH-15074|Citroen|C4|2023|Beige sable|GPL|173903|41-GYQ-578|Limoges|39405|4
VEH-15075|Mini|Clubman|2020|Rouge flamme|Essence|7732|83-LFY-678|Strasbourg|50025|3
VEH-15076|Audi|A1|2016|Argent|GPL|194442|33-NYY-944|Saint-Etienne|38363|8
VEH-15077|Toyota|Corolla|2022|Rouge flamme|Diesel|156725|32-FVV-698|Metz|9851|7
VEH-15078|Fiat|Tipo|2018|Argent|Diesel|84672|99-XDW-859|Le Mans|42650|1
VEH-15079|Mini|Cooper|2015|Rouge flamme|Electrique|145855|26-JKU-596|Clermont-Ferrand|23416|1
VEH-15080|Toyota|Corolla|2018|Orange fusion|Essence|102937|64-HJI-274|Reims|56424|1
VEH-15081|Peugeot|208|2022|Gris platine|Electrique|151340|50-MTO-486|Metz|54481|8
VEH-15082|Nissan|Micra|2024|Blanc nacre|Electrique|11140|79-LQF-644|Brest|39704|3
VEH-15083|Seat|Arona|2015|Vert olive|Hybride|82567|93-NJT-357|Brest|42174|2
VEH-15084|Toyota|Corolla|2017|Rouge flamme|Hybride|17343|56-TMT-448|Toulouse|42792|5
VEH-15085|Mini|Cooper|2017|Bleu intense|Hybride|196468|41-CVL-849|Tours|16992|3
VEH-15086|Nissan|Qashqai|2025|Rouge flamme|Electrique|190019|56-XBE-295|Nice|18396|4
VEH-15087|Toyota|Yaris Hybrid|2024|Violet royal|GPL|184692|70-GMY-526|Grenoble|48716|6
VEH-15088|Ford|Puma|2019|Violet royal|Electrique|99629|76-VCD-831|Tours|8665|2
VEH-15089|Dacia|Spring|2018|Rouge flamme|Essence|69724|45-FYQ-699|Strasbourg|53646|2
VEH-15090|Renault|Scenic E-Tech|2017|Gris platine|GPL|186821|68-TZJ-654|Caen|26004|6
VEH-15091|Volkswagen|Tiguan|2020|Rouge flamme|Diesel|135084|49-ZXD-184|Nice|30883|8
VEH-15092|Renault|Captur|2025|Bleu intense|Essence|66815|91-FYJ-450|Nantes|28123|7
VEH-15093|Mini|Cooper|2020|Orange fusion|GPL|142620|39-PQZ-462|Tours|17226|4
VEH-15094|Opel|Grandland|2022|Beige sable|Diesel|52184|93-RBM-137|Le Mans|39342|6
VEH-15095|Mercedes|Classe C|2015|Orange fusion|GPL|19136|73-XLC-248|Bordeaux|55628|1
VEH-15096|Renault|Twingo|2025|Blanc nacre|Hybride|53657|88-DOS-274|Paris|20874|3
VEH-15097|Nissan|Micra|2019|Orange fusion|Electrique|184613|87-XBU-605|Valence|34705|4
VEH-15098|Toyota|C-HR|2024|Bleu intense|Electrique|162610|37-DVP-844|Annecy|18195|1
VEH-15099|Nissan|Juke|2023|Noir perla|Hybride|170148|14-NDD-269|Amiens|26690|8
VEH-15100|Dacia|Duster|2018|Blanc nacre|Hybride|173868|47-GEH-242|Marseille|36720|1
VEH-15101|BMW|Serie 1|2020|Bleu intense|Electrique|190130|75-FNK-953|Clermont-Ferrand|52097|3
VEH-15102|Kia|Ceed|2021|Rouge flamme|Hybride|141608|70-XED-334|Lyon|23032|7
VEH-15103|Peugeot|2008|2020|Rouge flamme|Essence|11463|59-CAC-680|Marseille|43369|5
VEH-15104|Seat|Arona|2016|Violet royal|Electrique|167602|28-VCJ-731|Valence|31517|8
VEH-15105|Citroen|C3|2023|Rouge flamme|Diesel|118401|59-GRJ-815|Saint-Etienne|14383|6
VEH-15106|Citroen|C5 Aircross|2025|Gris platine|Electrique|38313|62-WVX-440|Strasbourg|36349|8
VEH-15107|Citroen|C3|2020|Noir perla|Electrique|99051|41-KDB-180|Toulouse|45742|2
VEH-15108|Seat|Arona|2025|Orange fusion|Hybride|43574|31-PXM-147|Villeurbanne|34445|1
VEH-15109|Mercedes|GLA|2016|Vert olive|Diesel|86534|50-ARR-704|Villeurbanne|19509|8
VEH-15110|Ford|Fiesta|2021|Vert olive|GPL|148855|67-WOY-423|Nice|20578|3
VEH-15111|Mini|Countryman|2021|Gris platine|Essence|125888|91-SXC-938|Strasbourg|13597|4
VEH-15112|Seat|Leon|2022|Violet royal|Hybride|141713|71-WMU-449|Hyeres|36180|7
VEH-15113|Dacia|Sandero|2019|Beige sable|Hybride|98327|72-QFU-909|Tours|32895|5
VEH-15114|Seat|Ibiza|2017|Rouge flamme|GPL|129216|96-HWE-294|Hyeres|19178|8
VEH-15115|Audi|Q2|2015|Argent|Diesel|151426|40-XVP-975|Nice|58232|2
VEH-15116|Citroen|C5 Aircross|2019|Violet royal|Electrique|53273|16-GHS-571|Bordeaux|18924|1
VEH-15117|Volkswagen|Golf|2016|Noir perla|Hybride|149188|87-TBS-961|Martigues|48474|3
VEH-15118|Toyota|Aygo X|2016|Gris platine|GPL|20072|57-VCS-553|Valence|13266|3
VEH-15119|Volkswagen|T-Roc|2019|Gris platine|Hybride|195283|24-EMY-436|Paris|43676|6
VEH-15120|Toyota|Yaris Hybrid|2022|Orange fusion|GPL|16443|58-SHU-763|Angers|43104|5
VEH-15121|Renault|Arkana|2017|Noir perla|Diesel|133757|20-ZXA-325|Bordeaux|31362|6
VEH-15122|Nissan|Micra|2017|Argent|Essence|105596|49-LBN-471|Perpignan|32707|3
VEH-15123|Nissan|Juke|2021|Gris platine|Electrique|139832|57-DAY-380|Besancon|42931|1
VEH-15124|Peugeot|408|2018|Vert olive|Essence|94930|90-XOQ-961|Hyeres|51666|1
VEH-15125|Renault|Clio V|2024|Orange fusion|GPL|163841|11-KNY-582|Montpellier|10263|1
VEH-15126|Nissan|Micra|2023|Blanc nacre|GPL|120986|94-QYD-265|Toulon|47290|3
VEH-15127|Peugeot|2008|2021|Rouge flamme|Essence|98932|61-YZO-552|Valence|54941|6
VEH-15128|BMW|X1|2015|Noir perla|Essence|98581|36-ZID-966|Perpignan|44318|8
VEH-15129|Seat|Ateca|2021|Blanc nacre|GPL|161425|21-JWB-775|Amiens|34259|4
VEH-15130|Volkswagen|ID.3|2023|Rouge flamme|Essence|64224|21-XGV-414|Caen|29786|3
VEH-15131|Hyundai|i30|2020|Noir perla|GPL|134675|46-UIR-630|Montpellier|23312|4
VEH-15132|Peugeot|2008|2022|Orange fusion|Diesel|149183|75-XYQ-377|Rennes|37217|1
VEH-15133|Kia|Niro|2017|Noir perla|Diesel|28856|91-YGB-636|Toulouse|14363|7
VEH-15134|Nissan|Juke|2015|Gris platine|GPL|126801|90-IDE-100|Tours|22719|5
VEH-15135|Fiat|Tipo|2020|Blanc nacre|GPL|169789|89-DMP-129|Toulouse|20941|8
VEH-15136|Fiat|Panda|2022|Blanc nacre|Electrique|116209|72-XZX-781|Caen|8687|5
VEH-15137|Renault|Megane E-Tech|2024|Gris platine|Diesel|10542|61-GIH-318|Reims|39516|4
VEH-15138|Fiat|600|2015|Violet royal|Hybride|109781|40-SGY-861|Paris|49604|2
VEH-15139|Dacia|Sandero|2016|Orange fusion|Electrique|171977|94-IPW-990|Lille|25045|8
VEH-15140|Volkswagen|Polo|2017|Noir perla|Electrique|125667|23-HPM-356|Paris|45733|1
VEH-15141|Nissan|Micra|2023|Rouge flamme|Hybride|121548|21-XST-510|Grenoble|44756|3
VEH-15142|Kia|Niro|2024|Bleu intense|Hybride|188584|25-XGE-680|Toulouse|37788|6
VEH-15143|Audi|Q5|2020|Gris platine|Essence|69750|40-COE-420|Brest|53146|8
VEH-15144|Audi|Q5|2024|Argent|Essence|55725|16-SEZ-243|Amiens|31042|5
VEH-15145|Opel|Astra|2018|Argent|Hybride|183897|29-LZZ-443|Rouen|55545|8
VEH-15146|Mini|Cooper|2019|Blanc nacre|Electrique|177706|80-VDD-241|Reims|40630|2
VEH-15147|Volkswagen|ID.3|2022|Rouge flamme|Diesel|87124|38-EXT-966|Hyeres|53115|1
VEH-15148|Kia|Niro|2017|Blanc nacre|Hybride|25744|69-CPR-569|Aix-en-Provence|38660|4
VEH-15149|BMW|X1|2023|Argent|Essence|79832|60-IXB-638|Rouen|53595|1
VEH-15150|BMW|X3|2019|Blanc nacre|Hybride|183856|29-IGV-984|Angers|25529|7
VEH-15151|Ford|Fiesta|2022|Gris platine|Hybride|10869|68-ITS-415|Grenoble|41100|8
VEH-15152|Kia|Picanto|2016|Beige sable|GPL|32313|89-DFT-913|Metz|49207|3
VEH-15153|Dacia|Spring|2024|Rouge flamme|GPL|98910|30-MSY-126|Rennes|58074|8
VEH-15154|Opel|Mokka|2017|Noir perla|GPL|66758|67-BWF-578|Metz|50087|8
VEH-15155|Ford|Fiesta|2025|Noir perla|Diesel|126297|80-JBH-778|Perpignan|54239|3
VEH-15156|Volkswagen|Tiguan|2022|Vert olive|Hybride|51260|82-KHC-643|Dijon|8231|8
VEH-15157|Renault|Arkana|2015|Violet royal|Diesel|90744|66-KXH-618|Toulon|19308|5
VEH-15158|Mini|Cooper|2018|Rouge flamme|Electrique|71426|75-FTM-267|Rouen|15219|1
VEH-15159|Seat|Leon|2022|Vert olive|Electrique|22549|54-UHJ-635|Le Mans|52454|1
VEH-15160|BMW|Serie 3|2017|Beige sable|Diesel|136644|52-VDI-963|Le Mans|48492|4
VEH-15161|Toyota|C-HR|2019|Noir perla|Hybride|18665|66-MBS-652|Toulon|33030|1
VEH-15162|Nissan|Micra|2015|Rouge flamme|Hybride|131297|55-YKX-866|Metz|14921|3
VEH-15163|Citroen|C5 Aircross|2016|Noir perla|Essence|60519|19-HFP-518|Villeurbanne|55245|8
VEH-15164|BMW|Serie 1|2015|Gris platine|Essence|168463|61-RBL-492|Amiens|51559|3
VEH-15165|Mini|Countryman|2016|Gris platine|Electrique|84560|14-GSD-414|Perpignan|23031|3
VEH-15166|Nissan|Juke|2022|Orange fusion|Diesel|98236|49-ZMB-692|Hyeres|49666|7
VEH-15167|Mercedes|GLA|2018|Argent|Electrique|143858|61-AMM-805|Perpignan|17790|3
VEH-15168|Mini|Countryman|2022|Rouge flamme|Electrique|39866|75-COQ-713|Paris|42350|7
VEH-15169|Mercedes|Classe C|2021|Rouge flamme|GPL|158778|33-ZGY-474|Rouen|13282|4
VEH-15170|Nissan|Juke|2016|Noir perla|Hybride|42502|94-PTK-261|Amiens|31957|4
VEH-15171|Renault|Kadjar|2022|Rouge flamme|Electrique|198175|70-LQA-621|Paris|18817|3
VEH-15172|Hyundai|i30|2022|Violet royal|Diesel|87055|81-QEN-786|Tours|8057|6
VEH-15173|Nissan|Qashqai|2018|Vert olive|Electrique|59552|12-HPY-899|Besancon|21417|5
VEH-15174|Volkswagen|Golf|2020|Rouge flamme|Diesel|115767|62-XHW-166|Perpignan|56871|6
VEH-15175|Mini|Cooper|2016|Blanc nacre|Diesel|49224|73-GYX-710|Villeurbanne|38725|2
VEH-15176|Renault|Megane E-Tech|2015|Argent|Hybride|161393|68-QHV-800|Brest|44385|4
VEH-15177|Kia|Niro|2017|Argent|Electrique|66331|21-EQD-402|Valence|24836|4
VEH-15178|Peugeot|3008|2025|Rouge flamme|Diesel|101527|39-XKZ-588|Paris|18572|7
VEH-15179|Fiat|Panda|2022|Blanc nacre|Electrique|39358|25-DCW-100|Marseille|13129|3
VEH-15180|Hyundai|i20|2017|Rouge flamme|Hybride|93646|55-LVF-466|Lille|52685|8
VEH-15181|Peugeot|5008|2022|Vert olive|Electrique|93451|84-WHD-987|Brest|13211|8
VEH-15182|Fiat|Panda|2025|Orange fusion|GPL|13335|76-SPP-795|Lyon|54021|7
VEH-15183|Renault|Captur|2022|Violet royal|Electrique|89478|66-CKQ-704|Lyon|52136|1
VEH-15184|Peugeot|5008|2021|Vert olive|Hybride|125952|78-YOJ-144|Toulon|43270|2
VEH-15185|Mercedes|Classe C|2020|Beige sable|Hybride|182349|41-URN-254|Caen|21407|5
VEH-15186|Mini|Clubman|2024|Beige sable|Essence|68827|21-XUP-458|Limoges|28018|8
VEH-15187|Opel|Mokka|2020|Orange fusion|Diesel|100556|85-PXY-383|Dijon|36626|6
VEH-15188|Hyundai|i30|2021|Blanc nacre|Hybride|63199|15-JXK-732|Reims|57956|3
VEH-15189|Hyundai|Tucson|2022|Vert olive|Electrique|112096|48-BLO-186|Marseille|32317|7
VEH-15190|Ford|Puma|2024|Blanc nacre|Essence|20317|34-ARB-460|Marseille|15616|3
VEH-15191|Volkswagen|Passat|2020|Rouge flamme|Diesel|8348|97-ANB-975|Hyeres|44114|2
VEH-15192|Peugeot|2008|2021|Noir perla|Hybride|171297|60-ITA-470|Lyon|19991|1
VEH-15193|Seat|Leon|2018|Argent|Essence|84027|73-KZR-868|Clermont-Ferrand|59239|2
VEH-15194|Citroen|C5 Aircross|2025|Vert olive|Diesel|24208|42-FVR-841|Amiens|13718|1
VEH-15195|Mini|Cooper|2015|Argent|GPL|103925|44-BRU-168|Bordeaux|50512|2
VEH-15196|Kia|Picanto|2017|Blanc nacre|GPL|101288|83-KMS-104|Martigues|48427|8
VEH-15197|Mercedes|GLA|2020|Vert olive|Diesel|77441|91-OXN-755|Rennes|27850|4
VEH-15198|Volkswagen|Tiguan|2015|Blanc nacre|Electrique|161452|86-TVZ-639|Dijon|38698|7
VEH-15199|Toyota|RAV4|2023|Vert olive|Hybride|70586|10-RVW-179|Brest|19613|8
VEH-15200|Mini|Countryman|2025|Vert olive|Diesel|80253|46-QNR-209|Le Havre|19989|4
VEH-15201|Kia|Sportage|2019|Gris platine|Hybride|187114|36-OYC-325|Le Mans|48484|7
VEH-15202|Mini|Countryman|2025|Rouge flamme|GPL|138777|73-NFT-969|Lille|42498|4
VEH-15203|Dacia|Duster|2023|Argent|Hybride|38451|53-DMS-248|Clermont-Ferrand|24864|6
VEH-15204|Renault|Clio V|2016|Vert olive|Diesel|154571|45-OFA-657|Brest|53431|8
VEH-15205|Toyota|Aygo X|2015|Noir perla|Hybride|15378|16-MMR-500|Aix-en-Provence|40034|3
VEH-15206|Seat|Leon|2024|Blanc nacre|Essence|164262|51-PLI-206|Le Havre|54302|8
VEH-15207|Seat|Leon|2018|Noir perla|Hybride|149883|80-TCL-377|Montpellier|50760|3
VEH-15208|Hyundai|Tucson|2020|Rouge flamme|Diesel|59939|37-HSX-132|Aix-en-Provence|12952|8
VEH-15209|Mini|Cooper|2019|Orange fusion|Electrique|27602|87-GEZ-814|Rouen|30912|6
VEH-15210|Hyundai|i20|2019|Orange fusion|GPL|108170|93-ESK-222|Nice|56709|8
VEH-15211|Nissan|Qashqai|2016|Beige sable|Essence|25473|61-VMW-122|Metz|20876|2
VEH-15212|Citroen|C4|2023|Noir perla|Hybride|8012|21-PLF-762|Hyeres|17396|6
VEH-15213|BMW|Serie 1|2020|Rouge flamme|Diesel|130146|87-BWZ-663|Nantes|55113|7
VEH-15214|Peugeot|208|2024|Blanc nacre|GPL|46508|37-HJQ-835|Paris|11693|3
VEH-15215|Peugeot|5008|2018|Orange fusion|Hybride|170537|99-LVC-204|Nice|32287|8
VEH-15216|Dacia|Spring|2019|Rouge flamme|Electrique|65723|83-ASF-100|Lille|22484|8
VEH-15217|BMW|X3|2017|Violet royal|GPL|172484|70-VBC-637|Brest|28488|1
VEH-15218|Opel|Corsa|2019|Vert olive|Diesel|110721|26-SXE-405|Mulhouse|48332|6
